random_text.txt	Długość wzorca:	5 	Wielkość alfabetu: 2
32100	29400	87200	
14900	19900	106600	

lorem_ipsum.txt	Długość wzorca:	8
Sunday:	MP:	BM:
25300	45000	140200	
22500	27000	110400	
18900	28500	108000	
19600	26000	102600	
18700	26200	92000	

random_text.txt	Długość wzorca:	15
Sunday:	MP:	BM:
44500	586600	111200	
33900	231400	51300	
53900	224300	48200	
37000	208100	43000	
23500	243700	50600	
20800	231000	54500	
22500	198900	44700	
21900	200100	40500	
20900	204700	46800	
21500	196200	48100	
21800	244100	46100	
22000	205800	49500	
21200	198600	67000	
21600	254900	48100	
20400	262700	45600	
24600	280800	52000	
22000	234600	66900	
21400	517300	48000	
22600	115300	41900	
20500	96500	101500	
119400	102800	45900	
19600	90000	45700	
22500	92000	46400	
20300	93700	72900	
21000	91200	44500	
21300	89700	44000	
20300	87700	45700	
44600	114800	44800	
13300	83200	192300	

dna.txt	Długość wzorca:	15
Sunday:	MP:	BM:
48100	148100	26700	
49100	101500	29300	
48800	114400	26800	
116700	101100	27700	
53900	103600	26900	
62300	126200	29700	
51500	177000	33600	
50500	101400	27200	
52000	184700	31800	
50400	174100	31900	
50400	101400	30700	
6596800	50100	44900	
34600	35300	28700	
35000	33800	27600	
32700	32500	27000	
34900	32300	29200	
32700	46800	26200	
36600	36700	26200	
31400	33800	29600	
35700	46200	26400	
33200	35600	28300	
33900	32700	26300	
34600	34200	28000	
34100	32800	27500	
33700	32400	26300	
33900	51300	28100	
33500	34900	27400	
34500	37900	27200	
32900	39300	27800	
36600	34000	28800	
32800	39300	26800	
35400	32700	26700	
32800	32800	29300	
31800	35200	26200	
34000	37000	73200	
34400	36500	27800	
35700	34900	35300	
32900	40300	25900	
36400	32200	26400	
9700	23100	231000	

lorem_ipsum.txt	Długość wzorca:	15
Sunday:	MP:	BM:
12900	29200	49000	
15800	31200	43800	
12300	25400	4065400	
13100	29900	44800	
18400	38100	47000	

random_text.txt	Długość wzorca:	24
Sunday:	MP:	BM:
35200	534300	60500	
27800	253400	25600	
54800	345800	27100	
18900	238100	17900	
38300	228900	20800	
20100	212800	23400	
19600	211200	19100	
21400	211600	17800	
19700	210600	19900	
19000	225400	18100	
17500	210500	19000	
17200	212000	21900	
19300	214500	18200	
18400	211700	18100	
20200	215700	17100	
22000	259500	20300	
18100	262200	19700	
19600	143000	19600	
18400	102500	18600	
17900	107300	19000	
18300	185200	18000	
17900	99600	18200	
20700	134700	21700	
18600	175400	21800	
19200	112100	23800	
18500	105000	19100	
18300	109500	18400	
21700	103100	19600	
9100	99700	170400	

dna.txt	Długość wzorca:	24
Sunday:	MP:	BM:
45400	118900	14900	
42800	101200	14800	
43800	106000	17100	
40900	103900	25900	
29200	105500	14900	
31800	255100	15200	
31400	109600	16200	
32500	100500	17200	
34700	123200	17400	
30300	231600	15200	
29400	106100	15600	
6077700	111800	15200	
31600	112900	14900	
29900	105400	14700	
30500	105500	16400	
29100	104600	15800	
31000	104700	14400	
30900	114400	14600	
30400	106100	14800	
28100	99100	14700	
29700	100500	14600	
31100	100800	24600	
30700	100100	15600	
32400	106200	14500	
29500	101800	14300	
29900	105400	15100	
29200	102200	14900	
33200	104200	16900	
29700	101600	18600	
28500	111900	14800	
32400	100900	15000	
30600	737700	14800	
33400	110900	14500	
30300	103500	14500	
29100	521700	15700	
29500	164000	19900	
28300	100800	15500	
31100	132200	14700	
28600	102600	14600	
6700	84400	96300	

lorem_ipsum.txt	Długość wzorca:	24
Sunday:	MP:	BM:
11300	40000	19800	
10500	27700	19600	
9400	30800	26700	
16000	39700	20900	
9800	29100	22500	

random_text.txt	Długość wzorca:	30
Sunday:	MP:	BM:
37200	556800	46700	
28300	346500	16000	
41000	237800	27600	
39900	225800	13000	
18500	213600	14000	
30200	221000	12800	
19700	230400	12600	
38400	239800	14400	
20600	231100	18000	
18300	209500	13700	
20400	208900	12700	
19200	208800	13500	
19300	214000	11600	
20100	211200	12900	
18200	209400	12600	
19200	226000	13100	
18800	233500	16300	
17500	250000	13100	
28300	232500	12100	
18300	177000	12700	
19200	206700	13100	
18300	156100	13400	
18800	123000	13600	
22300	107700	11900	
18700	123500	14200	
21200	105700	12700	
20600	104500	13600	
17900	106100	13500	
13500	114000	161800	

dna.txt	Długość wzorca:	30
Sunday:	MP:	BM:
56800	108900	10800	
71300	147600	13200	
58100	102800	13900	
59000	152100	11100	
56500	199200	11400	
55900	2297800	11100	
54900	112700	11000	
55800	101400	11200	
57400	105800	11700	
58900	101700	10900	
55600	103300	11500	
45200	107700	13200	
39800	148800	10600	
39700	114800	11300	
37400	51000	10900	
40300	38400	25000	
41700	111000	10600	
37900	89700	10700	
40000	202300	10700	
37900	141600	10400	
39500	44300	17100	
39000	181800	10700	
40400	106200	11300	
39600	151300	10700	
37500	105600	11500	
40100	103100	10700	
36900	101100	10700	
43000	100700	10600	
40500	128700	10800	
40600	100700	13200	
40000	111500	10700	
37000	101200	10400	
37500	4922300	11900	
38200	120300	11300	
42100	208800	10800	
38100	106600	10100	
41300	107200	13300	
39100	2282300	14000	
41000	105100	13800	
6400	151500	92800	

lorem_ipsum.txt	Długość wzorca:	30
Sunday:	MP:	BM:
9500	91300	17900	
11000	150400	22000	
11100	86400	15200	
9700	35900	14600	
14800	35400	16400	

